id,param
113,"{""a"": 34271.99041194033, ""b"": -56287.63316761765, ""c"": -123340.94313785306}"
114,"{""a"": -22956.551846501457, ""b"": -33007.0845171511, ""c"": 2884896.761727886}"
115,"{""a"": -58846.928266850766, ""b"": -15627.272727323769, ""c"": 4661667.625177305}"
116,"{""a"": -40562.12269208462, ""b"": -21220.352450207814, ""c"": 3627435.9206901193}"
117,"{""a"": -42871.129261254486, ""b"": -22887.837358125056, ""c"": 3851924.1907174666}"
118,"{""a"": -25970.76083108302, ""b"": -30454.381214396402, ""c"": 2990690.7528841426}"
119,"{""a"": 12645.862926212722, ""b"": -48871.661931768, ""c"": 1067303.111243216}"
120,"{""a"": -8073.792613660259, ""b"": -51005.48650566201, ""c"": 2574547.880449633}"
121,"{""a"": -24859.66352984526, ""b"": -29899.6315694452, ""c"": 2892619.710682677}"
122,"{""a"": -32545.6187856419, ""b"": -7859.4593395177, ""c"": 2548829.149440822}"
123,"{""a"": -21189.311079583913, ""b"": -6988.902698769292, ""c"": 1734438.0729414704}"
124,"{""a"": 33498.03355831847, ""b"": -21833.988813879107, ""c"": -1434614.7348537538}"
125,"{""a"": 14026.864346537865, ""b"": -19413.84055395574, ""c"": -192909.07044287556}"
126,"{""a"": 40439.475319650686, ""b"": -19287.79740769812, ""c"": -2012179.747954779}"
127,"{""a"": -350.1642401864424, ""b"": -35423.95685353981, ""c"": 1427944.623865365}"
128,"{""a"": 14629.074929010301, ""b"": -38346.51988631067, ""c"": 514508.7502730687}"
129,"{""a"": 15965.97123597446, ""b"": -40449.263139221126, ""c"": 505824.30937001685}"
130,"{""a"": -46690.33646978824, ""b"": -38449.63156982218, ""c"": 4731379.046862988}"
131,"{""a"": -8275.062144830623, ""b"": -22436.15944612182, ""c"": 1458739.9328170288}"
132,"{""a"": 23509.62357968645, ""b"": -21081.285511466827, ""c"": -778719.8930165254}"
133,"{""a"": 21439.060742311784, ""b"": -33185.97743507514, ""c"": -157731.1939866252}"
134,"{""a"": 2241.6841948203933, ""b"": -22341.23757099239, ""c"": 732508.0165647126}"
135,"{""a"": -2096.5993836824964, ""b"": -37827.92312049682, ""c"": 1643096.0393413997}"
136,"{""a"": 21046.888316753397, ""b"": -47385.791015546696, ""c"": 433387.2418020934}"
137,"{""a"": -18906.51189631654, ""b"": -45337.06054683274, ""c"": 3092624.090780468}"
138,"{""a"": -26798.730468802903, ""b"": -35301.26953119374, ""c"": 3237080.526246521}"
139,"{""a"": -30652.374822366226, ""b"": -29117.484907560647, ""c"": 3256873.32839836}"
140,"{""a"": 28336.936257181052, ""b"": -33072.56303267491, ""c"": -633119.4795251585}"
141,"{""a"": 24494.677734294888, ""b"": -19575.838955971383, ""c"": -903274.3685855969}"
142,"{""a"": 31626.00319586168, ""b"": 16653.275923362235, ""c"": -2825174.538232892}"
143,"{""a"": 52270.39240040289, ""b"": 29364.57741482662, ""c"": -4744142.675261563}"
144,"{""a"": 28858.886718725473, ""b"": 13048.401988694888, ""c"": -2492711.390381491}"
145,"{""a"": -55711.629971478986, ""b"": -12262.899503007997, ""c"": 4310665.906748308}"
146,"{""a"": -35785.62677555603, ""b"": -28827.805397689517, ""c"": 3598527.308569228}"
147,"{""a"": -24205.078124967793, ""b"": -41442.50710225492, ""c"": 3302755.4324922017}"
148,"{""a"": 6270.556640731774, ""b"": -30959.992009946553, ""c"": 796990.5482716152}"
149,"{""a"": -49462.366832280924, ""b"": -10523.46413370379, ""c"": 3813383.8164838543}"
150,"{""a"": -47979.85174011575, ""b"": -19130.712890660565, ""c"": 4052018.4290437573}"
151,"{""a"": 9072.03036210828, ""b"": -7222.891512772749, ""c"": -334291.56891285046}"
152,"{""a"": 57802.90749276177, ""b"": 13552.374822452228, ""c"": -4500351.09627676}"
153,"{""a"": 50093.98082389336, ""b"": 2770.392400780882, ""c"": -3544874.3488097233}"
154,"{""a"": 51013.63636349309, ""b"": 11204.216974519164, ""c"": -3941513.4373271586}"
155,"{""a"": 34448.73046893813, ""b"": 24247.665127700755, ""c"": -3320280.7478101044}"
156,"{""a"": 23169.28710942325, ""b"": 24259.130859362358, ""c"": -2546464.603701542}"
157,"{""a"": 28372.931463172532, ""b"": 15933.291903324782, ""c"": -2574435.7552306564}"
158,"{""a"": 24583.047762975744, ""b"": 13085.995205806925, ""c"": -2201662.312190596}"
159,"{""a"": -19561.057350503288, ""b"": -3901.1052913325, ""c"": 1500738.6711518713}"
160,"{""a"": -49724.2009941831, ""b"": -33799.138849485666, ""c"": 4753953.117646442}"
161,"{""a"": -45340.336470527196, ""b"": -32550.57262067504, ""c"": 4403584.254544129}"
162,"{""a"": -32868.01757783363, ""b"": -36107.98561813291, ""c"": 3687879.8232925176}"
163,"{""a"": -12096.02716623809, ""b"": -52419.28710937791, ""c"": 2906587.0941582504}"
164,"{""a"": 25684.39719470607, ""b"": -60915.27432540329, ""c"": 648226.3932803896}"
165,"{""a"": -30290.70490076802, ""b"": -49603.0717329057, ""c"": 4044796.6688128384}"
166,"{""a"": -50768.22176863653, ""b"": -22583.456143253337, ""c"": 4382596.59712134}"
167,"{""a"": -40761.79421180834, ""b"": -10498.894708856184, ""c"": 3217492.017319224}"
168,"{""a"": -7267.116477338128, ""b"": -17075.470525538884, ""c"": 1177115.6769165078}"
169,"{""a"": 32126.740056913728, ""b"": -14781.28551139505, ""c"": -1619336.6059401568}"
170,"{""a"": 23727.272727308304, ""b"": -25530.548650551886, ""c"": -617322.0826779819}"
171,"{""a"": 41848.322088177185, ""b"": -36765.84694616958, ""c"": -1417759.6089882746}"
172,"{""a"": 17720.228160517727, ""b"": -40108.92666915221, ""c"": 371878.32640360476}"
173,"{""a"": 10835.995206026646, ""b"": -51463.676313932505, ""c"": 1293822.8892063987}"
174,"{""a"": -3662.2025922253606, ""b"": -25939.67951001633, ""c"": 1280492.5561425306}"
175,"{""a"": -37734.56143431167, ""b"": -17266.912287079358, ""c"": 3278379.477387861}"
176,"{""a"": -24142.87553252577, ""b"": -26368.34605854468, ""c"": 2704473.2327957978}"
177,"{""a"": 21943.652343966834, ""b"": -10289.435369441511, ""c"": -1097902.2108254507}"
178,"{""a"": 24010.32049008836, ""b"": -381.2455610403849, ""c"": -1631725.5025283513}"
179,"{""a"": -9322.82514729221, ""b"": -30780.915912789176, ""c"": 1860985.5109989014}"
180,"{""a"": 13216.254505235413, ""b"": -9843.333992299886, ""c"": -515838.0914754812}"
181,"{""a"": 30495.29030542961, ""b"": -54294.553444494275, ""c"": 58567.6711638643}"
182,"{""a"": -38840.704900697165, ""b"": -45857.49289750975, ""c"": 4480445.7929468}"
183,"{""a"": -37055.44655534816, ""b"": -25702.374822527905, ""c"": 3561023.603609901}"
184,"{""a"": -33804.01278398845, ""b"": -18477.80539765428, ""c"": 3052326.561402549}"
185,"{""a"": 38343.283913446205, ""b"": -21377.436967332425, ""c"": -1781990.2464940334}"
186,"{""a"": 21185.99520604626, ""b"": -41571.82617191513, ""c"": 193498.96232628587}"
187,"{""a"": 8612.162642050085, ""b"": -51478.41796865554, ""c"": 1447808.9886988944}"
188,"{""a"": 38807.985617777405, ""b"": -27713.472123613406, ""c"": -1563475.0332878565}"
189,"{""a"": 42250.90110072708, ""b"": -11326.904296712746, ""c"": -2447642.09011346}"
190,"{""a"": -38392.34286217338, ""b"": -16726.9042969792, ""c"": 3298873.3804444275}"
191,"{""a"": -28526.74005689775, ""b"": -24740.17223000905, ""c"": 2938817.571390262}"
192,"{""a"": -17083.620383494963, ""b"": -26505.814985780496, ""c"": 2223444.2015688806}"
193,"{""a"": -29979.771839604648, ""b"": -7859.459339335117, ""c"": 2371063.1642918843}"
194,"{""a"": -34812.03835208249, ""b"": -6695.987216044079, ""c"": 2656661.4364269413}"
195,"{""a"": -25951.10529124322, ""b"": -34767.81338782241, ""c"": 3158585.881269375}"
196,"{""a"": -25898.69051835142, ""b"": -33733.6603339384, ""c"": 3114096.283760884}"
197,"{""a"": 32345.987215805297, ""b"": 5918.714488626269, ""c"": -2451289.294537044}"
198,"{""a"": 45222.52308239304, ""b"": 47029.07492916328, ""c"": -4960655.710778854}"
199,"{""a"": 44849.46732943326, ""b"": 49630.87713068399, ""c"": -5037930.155576548}"
200,"{""a"": 26365.070135208985, ""b"": 50835.25834504748, ""c"": -3816761.601736792}"
201,"{""a"": 43119.81977975241, ""b"": 38956.92027700156, ""c"": -4497187.171864667}"
202,"{""a"": 22038.574218817597, ""b"": 33666.58380679915, ""c"": -2840825.104374004}"
203,"{""a"": 22033.620383689708, ""b"": 45397.66512767695, ""c"": -3304354.787391787}"
204,"{""a"": 6553.684303935639, ""b"": 38819.451349427865, ""c"": -1981488.0619754123}"
205,"{""a"": -11279.483309607855, ""b"": 4158.025568268786, ""c"": 613455.4782534305}"
206,"{""a"": -38672.19460265747, ""b"": -42203.400213027395, ""c"": 4327448.54461376}"
207,"{""a"": -17743.079722969094, ""b"": -60439.06693895625, ""c"": 3611474.007949729}"
208,"{""a"": -4496.724076674887, ""b"": -66852.00639200467, ""c"": 2955483.8942168774}"
209,"{""a"": 10161.794211658573, ""b"": -50432.71928256513, ""c"": 1299651.2278060373}"
210,"{""a"": -54137.42897761078, ""b"": -22375.59481525814, ""c"": 4605761.723075696}"
211,"{""a"": -58814.20898462761, ""b"": -17502.49911201185, ""c"": 4734247.260934572}"
212,"{""a"": -25075.63476568727, ""b"": -37227.23277704761, ""c"": 3197106.5950383474}"
213,"{""a"": -8024.6937145293405, ""b"": -45579.239168881424, ""c"": 2356285.959086558}"
214,"{""a"": 18733.087713096018, ""b"": -33722.19460229614, ""c"": 49603.15871261519}"
215,"{""a"": 50861.46573149357, ""b"": -36713.47212353801, ""c"": -2038920.4900390303}"
216,"{""a"": 45081.77823149139, ""b"": -55845.82297588626, ""c"": -885382.598434333}"
217,"{""a"": 27641.481711828754, ""b"": -65657.45294762948, ""c"": 700618.0088117382}"
218,"{""a"": 10217.444957450705, ""b"": -63605.40660518581, ""c"": 1816442.0912293473}"
219,"{""a"": -29657.4529476456, ""b"": -62515.60280527698, ""c"": 4512726.9250968}"
220,"{""a"": -35633.496093424736, ""b"": -47294.18501458499, ""c"": 4321410.742668481}"
221,"{""a"": -28024.32528387248, ""b"": -36412.36683271872, ""c"": 3368331.2417084514}"
222,"{""a"": -6645.250355046602, ""b"": -20020.925071071855, ""c"": 1251258.1863210225}"
223,"{""a"": 25574.82123110218, ""b"": -3370.655919690478, ""c"": -1621016.29247578}"
224,"{""a"": 25072.967059441475, ""b"": -8048.739969983108, ""c"": -1401549.7297517452}"
225,"{""a"": 7287.214543260886, ""b"": -26792.1786222272, ""c"": 561812.2534963561}"
226,"{""a"": 7039.679509801106, ""b"": -39092.751243006824, ""c"": 1066178.6290035374}"
227,"{""a"": -38173.09570337356, ""b"": -24741.810191567733, ""c"": 3599733.069284295}"
228,"{""a"": -36986.73206682119, ""b"": -45633.25195310657, ""c"": 4344385.605854982}"
229,"{""a"": -43586.159445787765, ""b"": -43144.38920450108, ""c"": 4698649.044082801}"
230,"{""a"": 45107.98561810458, ""b"": -37227.31267763286, ""c"": -1619317.4238115645}"
231,"{""a"": 47001.26953117415, ""b"": -49612.89950286949, ""c"": -1259481.4664243315}"
232,"{""a"": 5923.628373630785, ""b"": -62833.04776272761, ""c"": 2081217.447631636}"
233,"{""a"": 15131.449751624861, ""b"": -60232.923473279414, ""c"": 1346712.6732088006}"
234,"{""a"": 38451.26953121652, ""b"": -49143.32386349584, ""c"": -691675.5479768923}"
235,"{""a"": -26932.923472968345, ""b"": -51403.11168331278, ""c"": 3883728.839250025}"
