id,param
51,"{""X"": [[68.65402777777777, 39.547361111111115], [68.64986111111111, 39.547361111111115], [68.64986111111111, 39.55152777777778], [68.65402777777777, 39.55152777777778]], ""w"": [-770933.5195084976, 770933.5195084313, -770933.5195085465, 770933.5195086127], ""a"": [-942587.7344092536, 41277.568359366574, -47733.60351546446]}"
52,"{""X"": [[68.65819444444443, 39.547361111111115], [68.65402777777777, 39.547361111111115], [68.65402777777777, 39.55152777777778], [68.65819444444443, 39.55152777777778]], ""w"": [-1502642.5495364277, 1502642.5495395293, -1502642.5495341448, 1502642.5495310435], ""a"": [3736646.2662099553, -34450.7812501093, -34589.99999999119]}"
53,"{""X"": [[68.66236111111111, 39.547361111111115], [68.65819444444443, 39.547361111111115], [68.65819444444443, 39.55152777777778], [68.66236111111111, 39.55152777777778]], ""w"": [-2423029.481892076, 2423029.4818924717, -2423029.4818917844, 2423029.4818913885], ""a"": [3622787.8582074265, -45865.195312461816, -11895.585937469306]}"
54,"{""X"": [[68.66652777777777, 39.547361111111115], [68.66236111111111, 39.547361111111115], [68.66236111111111, 39.55152777777778], [68.66652777777777, 39.55152777777778]], ""w"": [-491745.3615283702, 491745.3615302233, -491745.3615270059, 491745.361525153], ""a"": [2207066.1387721803, -34952.40234385686, 4954.804687618549]}"
55,"{""X"": [[68.67069444444444, 39.547361111111115], [68.66652777777777, 39.547361111111115], [68.66652777777777, 39.55152777777778], [68.67069444444444, 39.55152777777778]], ""w"": [3969052.0868667783, -3969052.086870355, 3969052.086864145, -3969052.0868605687], ""a"": [2233316.1478660065, -23756.42578157677, -15147.597656459391]}"
56,"{""X"": [[68.6748611111111, 39.547361111111115], [68.67069444444444, 39.547361111111115], [68.67069444444444, 39.55152777777778], [68.6748611111111, 39.55152777777778]], ""w"": [-99845.07606542495, 99845.07606581342, -99845.07606513887, 99845.07606475044], ""a"": [1606154.8835954077, -1741.1718750976859, -37515.585937578064]}"
57,"{""X"": [[68.67902777777778, 39.547361111111115], [68.6748611111111, 39.547361111111115], [68.6748611111111, 39.55152777777778], [68.67902777777778, 39.55152777777778]], ""w"": [-2537403.8358582146, 2537403.835864395, -2537403.835861176, 2537403.8358549955], ""a"": [2325288.2385637295, -20992.82226543635, -22269.58007787872]}"
58,"{""X"": [[68.68319444444444, 39.547361111111115], [68.67902777777778, 39.547361111111115], [68.67902777777778, 39.55152777777778], [68.68319444444444, 39.55152777777778]], ""w"": [-1084166.9124256307, 1084166.9124240929, -1084166.9124267637, 1084166.9124283015], ""a"": [1385262.9061228647, -19362.01171887553, -1333.1835938154777]}"
59,"{""X"": [[68.6873611111111, 39.547361111111115], [68.68319444444444, 39.547361111111115], [68.68319444444444, 39.55152777777778], [68.6873611111111, 39.55152777777778]], ""w"": [1414630.7012381873, -1414630.7012391188, 1414630.7012375013, -1414630.70123657], ""a"": [-308243.48901825835, 6394.83398428044, -3243.6035156534604]}"
60,"{""X"": [[68.69152777777776, 39.547361111111115], [68.6873611111111, 39.547361111111115], [68.6873611111111, 39.55152777777778], [68.69152777777776, 39.55152777777778]], ""w"": [1343220.8460009096, -1343220.8460003803, 1343220.8460013, -1343220.8460018293], ""a"": [-1443728.8113932246, 32105.976562613643, -19186.816406241713]}"
61,"{""X"": [[68.69569444444444, 39.547361111111115], [68.69152777777776, 39.547361111111115], [68.69152777777776, 39.55152777777778], [68.69569444444444, 39.55152777777778]], ""w"": [865173.6491492472, -865173.6491499456, 865173.6491487325, -865173.6491480343], ""a"": [428618.1458210842, 12199.18945315954, -31953.60351568392]}"
62,"{""X"": [[68.6998611111111, 39.547361111111115], [68.69569444444444, 39.547361111111115], [68.69569444444444, 39.55152777777778], [68.6998611111111, 39.55152777777778]], ""w"": [481782.1385503822, -481782.13855099573, 481782.1385499301, -481782.1385493167], ""a"": [767327.2692692159, 11751.621093657388, -39740.390625004]}"
63,"{""X"": [[68.70402777777777, 39.547361111111115], [68.6998611111111, 39.547361111111115], [68.6998611111111, 39.55152777777778], [68.70402777777777, 39.55152777777778]], ""w"": [-2805382.100943057, 2805382.100942704, -2805382.1009350074, 2805382.100935361], ""a"": [458655.3199844812, 8511.621094180513, -26307.59765631738]}"
64,"{""X"": [[68.70819444444443, 39.547361111111115], [68.70402777777777, 39.547361111111115], [68.70402777777777, 39.55152777777778], [68.70819444444443, 39.55152777777778]], ""w"": [579133.8750771913, -579133.8750769891, 579133.875079056, -579133.8750792581], ""a"": [3013884.4720328455, -36088.8281251083, -13437.597655937567]}"
65,"{""X"": [[68.71236111111111, 39.547361111111115], [68.70819444444443, 39.547361111111115], [68.70819444444443, 39.55152777777778], [68.71236111111111, 39.55152777777778]], ""w"": [1472540.0345278543, -1472540.0345289235, 1472540.0345314282, -1472540.0345303589], ""a"": [-426965.98656374426, 20817.597656316455, -25298.37890637514]}"
66,"{""X"": [[68.71652777777777, 39.547361111111115], [68.71236111111111, 39.547361111111115], [68.71236111111111, 39.55152777777778], [68.71652777777777, 39.55152777777778]], ""w"": [-297867.93408981094, 297867.9340894533, -297867.9340900745, 297867.934090432], ""a"": [618411.4475822032, 9512.43164061217, -32089.18945318525]}"
67,"{""X"": [[68.72069444444443, 39.547361111111115], [68.71652777777777, 39.547361111111115], [68.71652777777777, 39.55152777777778], [68.72069444444443, 39.55152777777778]], ""w"": [-1276179.4029485523, 1276179.4029488969, -1276179.4029482987, 1276179.4029479544], ""a"": [994650.0717110116, -1200.0292967930736, -22989.580078133415]}"
68,"{""X"": [[68.72208333333333, 39.547361111111115], [68.72069444444443, 39.547361111111115], [68.72069444444443, 39.55152777777778], [68.72208333333333, 39.55152777777778]], ""w"": [-2412206.3956781034, 2412206.395678035, -2412206.395678392, 2412206.395678461], ""a"": [-900885.4923342484, 20041.259765662286, -11969.970703080222]}"
